Station Number,Inverter Number,Combiner Number,String Number,STD
1,1,7,12,0.127829143
1,1,7,13,0.978786692
1,1,7,14,1.206320354
1,1,7,15,2.072627741
1,1,7,16,2.054804809
1,2,1,1,2.359024827
1,2,1,2,2.225244946
1,2,1,3,2.188139852
1,2,1,4,0.827310596
1,2,1,5,1.159935863
1,2,1,6,0.115649446
1,2,1,7,2.35503557
1,2,1,8,2.868494726
1,2,1,9,1.708394769
1,2,1,10,2.233061317
1,2,1,11,0.125253524
1,2,1,12,0.273178086
1,2,1,13,2.656193404
1,2,1,14,1.787444876
1,2,1,15,1.227597674
1,2,1,16,2.11940694
1,2,2,1,2.518090925
1,2,2,2,0.750609441
1,2,2,3,0.348470123
1,2,2,4,1.208149384
1,2,2,5,0.529759846
1,2,2,6,1.129307291
1,2,2,7,2.916904744
1,2,2,8,1.74116121
1,2,2,9,1.0800799
1,2,2,10,2.774910816
1,2,2,11,2.977535504
1,2,2,12,1.762357779
1,2,2,13,0.755467867
1,2,2,14,2.551469614
1,2,2,15,1.942612273
1,2,2,16,1.809464389
1,2,3,1,0.826885761
1,2,3,2,1.611574924
1,2,3,3,1.784564305
1,2,3,4,1.304021668
1,2,3,5,0.202337171
1,2,3,6,0.747586351
1,2,3,7,0.481538962
1,2,3,8,2.768337562
1,2,3,9,0.583328464
1,2,3,10,0.540996784
1,2,3,11,0.077839357
1,2,3,12,1.554559389
1,2,3,13,1.767622593
1,2,3,14,1.865422341
1,2,3,15,1.733261139
1,2,3,16,0.570148856
1,2,4,1,2.0807685
1,2,4,2,2.698495205
1,2,4,3,2.284024405
1,2,4,4,0.405525393
1,2,4,5,2.524745442
1,2,4,6,0.893132538
1,2,4,7,1.345100436
1,2,4,8,0.776207949
1,2,4,9,1.452509451
1,2,4,10,2.856917466
1,2,4,11,0.821998802
1,2,4,12,2.65030533
1,2,4,13,1.040737709
1,2,4,14,1.542172956
1,2,4,15,0.669720371
1,2,4,16,1.298284545
1,2,5,1,1.537076119
1,2,5,2,2.226847263
1,2,5,3,1.101866608
1,2,5,4,0.67145047
1,2,5,5,2.814504426
1,2,5,6,0.14916089
1,2,5,7,2.669030777
1,2,5,8,2.005666103
1,2,5,9,1.120158278
1,2,5,10,1.347488546
1,2,5,11,1.410910888
1,2,5,12,2.636615864
1,2,5,13,1.791467525
1,2,5,14,2.191153485
1,2,5,15,0.855701353
1,2,5,16,1.470991839
1,2,6,1,1.998598007
1,2,6,2,2.77568973
1,2,6,3,2.167183906
1,2,6,4,0.959047467
1,2,6,5,1.917106246
1,2,6,6,1.41213325
1,2,6,7,1.282111241
1,2,6,8,0.106632355
1,2,6,9,0.742458313
1,2,6,10,2.061924402
1,2,6,11,2.779293923
1,2,6,12,0.645906872
1,2,6,13,2.482782148
1,2,6,14,2.416762479
1,2,6,15,1.657971902
1,2,6,16,1.798563537
1,2,7,1,2.389807402
1,2,7,2,1.170184694
1,2,7,3,1.166222455
1,2,7,4,1.765987391
1,2,7,5,2.238520339
1,2,7,6,1.375362142
1,2,7,7,2.603369108
1,2,7,8,0.712490493
1,2,7,9,1.772482684
1,2,7,10,2.794640323
1,2,7,11,0.819168104
1,2,7,12,1.267101644
1,2,7,13,1.229618394
1,2,7,14,0.3455048
1,2,7,15,0.835812602
1,2,7,16,0.611545112
1,3,1,1,2.669744473
1,3,1,2,0.376758698
1,3,1,3,0.526543155
1,3,1,4,2.088875821
1,3,1,5,0.54656732
1,3,1,6,2.457148919
1,3,1,7,0.694896273
1,3,1,8,2.023024703
1,3,1,9,0.633146542
1,3,1,10,1.973352331
1,3,1,11,1.79836768
1,3,1,12,2.834227227
1,3,1,13,1.996793863
1,3,1,14,1.709150061
1,3,1,15,1.633693691
1,3,1,16,0.398010479
1,3,2,1,0.533900529
1,3,2,2,2.105557229
1,3,2,3,1.000633759
1,3,2,4,2.871600107
1,3,2,5,1.712790032
1,3,2,6,0.204373662
1,3,2,7,2.874728263
1,3,2,8,0.324795572
1,3,2,9,1.643229076
1,3,2,10,0.674611212
1,3,2,11,1.073141605
1,3,2,12,2.107919004
1,3,2,13,2.102268189
1,3,2,14,1.78472606
1,3,2,15,2.81870551
1,3,2,16,1.3864781
1,3,3,1,0.505089258
1,3,3,2,2.138821385
1,3,3,3,0.117849939
1,3,3,4,2.416902756
1,3,3,5,2.680347053
1,3,3,6,0.890504532
1,3,3,7,1.579383005
1,3,3,8,2.986002376
1,3,3,9,2.137903864
1,3,3,10,0.435868072
1,3,3,11,0.60997981
1,3,3,12,1.450753558
1,3,3,13,2.088757176
1,3,3,14,0.218853592
1,3,3,15,0.971353915
1,3,3,16,2.446109032
1,3,4,1,1.425726512
1,3,4,2,2.997785824
1,3,4,3,2.847207643
1,3,4,4,2.891455175
1,3,4,5,0.715739877
1,3,4,6,2.884125681
1,3,4,7,0.510039232
1,3,4,8,2.967136269
1,3,4,9,1.390346075
1,3,4,10,1.382216396
1,3,4,11,2.992100552
1,3,4,12,1.482512592
1,3,4,13,2.477470751
1,3,4,14,1.209728575
1,3,4,15,2.937813823
1,3,4,16,0.866655794
1,3,5,1,0.76997899
1,3,5,2,1.085353335
1,3,5,3,2.052748357
1,3,5,4,2.143289243
1,3,5,5,1.750236923
1,3,5,6,0.831721164
1,3,5,7,2.67427721
1,3,5,8,0.48193725
1,3,5,9,1.040595176
1,3,5,10,2.53678026
1,3,5,11,1.508753747
1,3,5,12,0.741887727
1,3,5,13,0.921168397
1,3,5,14,2.703214536
1,3,5,15,2.322026427
1,3,5,16,2.088010877
1,3,6,1,0.455881237
1,3,6,2,1.738492336
1,3,6,3,1.273451966
1,3,6,4,1.576848189
1,3,6,5,2.51754056
1,3,6,6,0.991416587
1,3,6,7,0.052394759
1,3,6,8,0.146453747
1,3,6,9,1.824062536
1,3,6,10,0.873535452
1,3,6,11,1.315747061
1,3,6,12,2.161131563
1,3,6,13,2.423896652
1,3,6,14,2.846667255
1,3,6,15,0.037947911
1,3,6,16,0.882257003
1,3,7,1,0.549837805
1,3,7,2,1.60492075
1,3,7,3,1.821377672
1,3,7,4,2.389795052
1,3,7,5,0.235115436
1,3,7,6,2.223267813
1,3,7,7,2.153412375
1,3,7,8,2.167096222
1,3,7,9,1.127957997
1,3,7,10,0.356201636
1,3,7,11,1.674782385
1,3,7,12,0.05949214
1,3,7,13,2.573097178
1,3,7,14,2.343668622
1,3,7,15,0.575742434
1,3,7,16,1.526582077
1,4,1,1,2.655162787
1,4,1,2,1.844470272
1,4,1,3,0.77251744
1,4,1,4,2.240161985
1,4,1,5,1.684280967
1,4,1,6,1.061880058
1,4,1,7,1.439848536
1,4,1,8,0.730560458
1,4,1,9,0.653619255
1,4,1,10,1.569481652
1,4,1,11,2.965852597
1,4,1,12,0.695919182
1,4,1,13,2.285132123
1,4,1,14,0.705829984
1,4,1,15,0.580501352
1,4,1,16,2.237486991
1,4,2,1,2.566720356
1,4,2,2,1.299653185
1,4,2,3,0.890816442
1,4,2,4,0.196357886
1,4,2,5,2.448954425
1,4,2,6,2.274404597
1,4,2,7,0.294819844
1,4,2,8,2.436244978
1,4,2,9,1.256409777
1,4,2,10,2.934830906
1,4,2,11,0.3047818
1,4,2,12,2.896275121
1,4,2,13,1.679248773
1,4,2,14,1.180081346
1,4,2,15,1.098564783
1,4,2,16,2.251559252
1,4,3,1,1.502536653
1,4,3,2,1.158968994
1,4,3,3,0.577727327
1,4,3,4,0.638792932
1,4,3,5,2.571082351
1,4,3,6,1.394071068
1,4,3,7,0.053808556
1,4,3,8,0.642071907
1,4,3,9,1.226684538
1,4,3,10,1.399975243
1,4,3,11,0.36028811
1,4,3,12,0.337166176
1,4,3,13,2.613948953
1,4,3,14,2.083906692
1,4,3,15,1.841539572
1,4,3,16,0.332116811
1,4,4,1,2.227037167
1,4,4,2,2.51077448
1,4,4,3,2.510156585
1,4,4,4,0.530098724
1,4,4,5,1.980444711
1,4,4,6,0.308065892
1,4,4,7,1.512401397
1,4,4,8,0.819612772
1,4,4,9,0.653970183
1,4,4,10,2.323162399
1,4,4,11,0.357269613
1,4,4,12,2.380612482
1,4,4,13,2.690243818
1,4,4,14,1.266273844
1,4,4,15,0.60131159
1,4,4,16,1.434595477
1,4,5,1,2.106259639
1,4,5,2,0.451657826
1,4,5,3,1.429752238
1,4,5,4,2.754057665
1,4,5,5,2.527699604
1,4,5,6,2.774930782
1,4,5,7,1.28043859
1,4,5,8,2.418234366
1,4,5,9,2.083078319
1,4,5,10,0.755158454
1,4,5,11,0.603360692
1,4,5,12,0.397255718
1,4,5,13,1.217792424
1,4,5,14,1.394439331
1,4,5,15,1.930244917
1,4,5,16,1.963755903
1,4,6,1,0.768152628
1,4,6,2,1.930082576
1,4,6,3,2.138386711
1,4,6,4,1.751264517
1,4,6,5,0.239820888
1,4,6,6,1.245179703
1,4,6,7,0.741428149
1,4,6,8,2.464187411
1,4,6,9,2.279295677
1,4,6,10,1.915196011
1,4,6,11,2.00214275
1,4,6,12,0.892289801
1,4,6,13,2.643593126
1,4,6,14,1.312330823
1,4,6,15,1.904532905
1,4,6,16,2.35471403
1,4,7,1,1.406537442
1,4,7,2,0.96022516
1,4,7,3,0.993932586
1,4,7,4,0.46085243
1,4,7,5,0.896681786
1,4,7,6,2.69006984
1,4,7,7,2.14627419
1,4,7,8,2.634973465
1,4,7,9,1.539906426
1,4,7,10,1.654462938
1,4,7,11,1.848692097
1,4,7,12,2.790020269
1,4,7,13,2.228790493
1,4,7,14,1.883919609
1,4,7,15,2.152850304
1,4,7,16,1.022581216
2,1,1,1,1.671940619
2,1,1,2,1.970350303
2,1,1,3,1.106073952
2,1,1,4,2.385560302
2,1,1,5,2.247610868
2,1,1,6,1.734577012
2,1,1,7,0.520495013
2,1,1,8,2.582959671
2,1,1,9,2.320271857
2,1,1,10,2.460088061
2,1,1,11,0.739254625
2,1,1,12,0.341465274
2,1,1,13,1.291178904
2,1,1,14,1.913650636
2,1,1,15,1.455229449
2,1,1,16,2.437593505
2,1,2,1,2.854888737
2,1,2,2,1.354595659
2,1,2,3,1.556789271
2,1,2,4,0.709540212
2,1,2,5,1.623761433
2,1,2,6,2.47788751
2,1,2,7,1.24851676
2,1,2,8,0.47696579
2,1,2,9,0.585695683
2,1,2,10,2.282754852
2,1,2,11,2.005270547
2,1,2,12,1.750548872
2,1,2,13,1.950057731
2,1,2,14,1.819423134
2,1,2,15,0.578061728
2,1,2,16,0.816623884
2,1,3,1,0.318040904
2,1,3,2,2.372031574
2,1,3,3,2.598558954
2,1,3,4,1.196114449
2,1,3,5,0.879169017
2,1,3,6,2.512038232
2,1,3,7,1.750471936
2,1,3,8,0.98165851
2,1,3,9,0.64928073
2,1,3,10,0.898672476
2,1,3,11,0.517296203
2,1,3,12,1.550887594
2,1,3,13,2.026359835
2,1,3,14,2.913880699
2,1,3,15,1.698649157
2,1,3,16,1.995384796
2,1,4,1,2.589365883
2,1,4,2,2.359192222
2,1,4,3,0.268620592
2,1,4,4,1.079532026
2,1,4,5,1.09534611
2,1,4,6,1.270720389
2,1,4,7,0.171050632
2,1,4,8,1.181210333
2,1,4,9,0.885585982
2,1,4,10,0.233407261
2,1,4,11,2.344829934
2,1,4,12,1.464265436
2,1,4,13,1.836871069
2,1,4,14,0.25526253
2,1,4,15,2.431249306
2,1,4,16,1.206490118
2,1,5,1,0.411952879
2,1,5,2,0.592682309
2,1,5,3,2.603032183
2,1,5,4,0.866521247
2,1,5,5,0.87312252
2,1,5,6,2.987576963
2,1,5,7,1.334304591
2,1,5,8,2.819765228
2,1,5,9,2.836213063
2,1,5,10,1.504189887
2,1,5,11,2.555088738
2,1,5,12,1.243995991
2,1,5,13,1.646409655
2,1,5,14,1.935541072
2,1,5,15,0.511625531
2,1,5,16,2.395101494
2,1,6,1,2.79703287
2,1,6,2,2.108086733
2,1,6,3,0.396900293
2,1,6,4,0.174148535
2,1,6,5,0.17698308
2,1,6,6,2.615373869
2,1,6,7,2.438844058
2,1,6,8,1.032248075
2,1,6,9,0.268802959
2,1,6,10,0.321027178
2,1,6,11,0.504938753
2,1,6,12,1.151929264
2,1,6,13,1.417399889
2,1,6,14,0.496051447
2,1,6,15,2.280619565
2,1,6,16,1.614533368
2,1,7,1,1.357118989
2,1,7,2,2.943237094
2,1,7,3,0.806932575
2,1,7,4,2.479628758
2,1,7,5,0.50590493
2,1,7,6,2.743866119
2,1,7,7,1.367236686
2,1,7,8,1.506779518
2,1,7,9,1.723214345
2,1,7,10,2.86725647
2,1,7,11,2.097499999
2,1,7,12,1.273907038
2,1,7,13,0.495693179
2,1,7,14,2.453733828
2,1,7,15,2.823204723
2,1,7,16,2.298026864
2,2,1,1,0.437211965
2,2,1,2,1.95397973
2,2,1,3,2.777022035
2,2,1,4,2.933963959
2,2,1,5,2.038760737
2,2,1,6,0.938502741
2,2,1,7,1.223864776
2,2,1,8,1.559228979
2,2,1,9,0.21975271
2,2,1,10,1.253316068
2,2,1,11,1.907868322
2,2,1,12,2.687995023
2,2,1,13,1.384220014
2,2,1,14,2.56162933
2,2,1,15,2.878178857
2,2,1,16,1.713904007
2,2,2,1,2.474837565
2,2,2,2,0.506091675
2,2,2,3,2.577400773
2,2,2,4,2.52399906
2,2,2,5,1.776571263
2,2,2,6,1.634091749
2,2,2,7,0.740788381
2,2,2,8,2.774097885
2,2,2,9,0.629813321
2,2,2,10,2.809434905
2,2,2,11,1.487326088
2,2,2,12,2.525408867
2,2,2,13,0.687097585
2,2,2,14,1.260134249
2,2,2,15,2.953559862
2,2,2,16,2.38062456
2,2,3,1,2.842155866
2,2,3,2,0.27137447
2,2,3,3,1.613061532
2,2,3,4,2.377633297
2,2,3,5,0.608578747
2,2,3,6,2.993997559
2,2,3,7,0.18371499
2,2,3,8,1.282091529
2,2,3,9,0.475154994
2,2,3,10,1.261807647
2,2,3,11,0.736353235
2,2,3,12,1.855041461
2,2,3,13,0.563633135
2,2,3,14,0.269108557
2,2,3,15,1.73582435
2,2,3,16,1.671244928
2,2,4,1,2.899245161
2,2,4,2,2.353021043
2,2,4,3,2.690280964
2,2,4,4,1.162816474
2,2,4,5,2.979599456
2,2,4,6,2.435581943
2,2,4,7,2.229183539
2,2,4,8,0.829329874
2,2,4,9,1.307477663
2,2,4,10,0.02128118
2,2,4,11,0.968681376
2,2,4,12,1.419630758
2,2,4,13,0.305744773
2,2,4,14,1.956230098
2,2,4,15,2.433447441
2,2,4,16,1.154904416
2,2,5,1,2.666210912
2,2,5,2,2.532545648
2,2,5,3,0.685021141
2,2,5,4,2.438322801
2,2,5,5,0.788193518
2,2,5,6,1.88697226
2,2,5,7,0.507855788
2,2,5,8,2.782801814
2,2,5,9,0.669934067
2,2,5,10,0.513177248
2,2,5,11,0.576756235
2,2,5,12,1.751135173
2,2,5,13,1.74374747
2,2,5,14,0.308005096
2,2,5,15,1.212304192
2,2,5,16,1.65679759
2,2,6,1,0.756543773
2,2,6,2,2.90275642
2,2,6,3,2.120037027
2,2,6,4,1.651739974
2,2,6,5,1.238700655
2,2,6,6,0.147775892
2,2,6,7,0.520389892
2,2,6,8,1.778087928
2,2,6,9,2.763495135
2,2,6,10,0.451284683
2,2,6,11,1.043800749
2,2,6,12,0.203539037
2,2,6,13,2.286552923
2,2,6,14,1.870584762
2,2,6,15,0.453978611
2,2,6,16,1.181786161
2,2,7,1,1.314421203
2,2,7,2,1.903793169
2,2,7,3,1.046904822
2,2,7,4,0.495897477
2,2,7,5,2.054760212
2,2,7,6,1.556428206
2,2,7,7,0.082011122
2,2,7,8,0.532780361
2,2,7,9,2.284390624
2,2,7,10,2.916110149
2,2,7,11,1.287177394
2,2,7,12,2.876872882
2,2,7,13,0.267319143
2,2,7,14,1.443573373
2,2,7,15,1.124718663
2,2,7,16,2.452233848
2,3,1,1,0.417599828
2,3,1,2,0.888837801
2,3,1,3,2.243907589
2,3,1,4,2.538778549
2,3,1,5,0.108930693
2,3,1,6,0.304717502
2,3,1,7,1.998755652
2,3,1,8,0.152817421
2,3,1,9,2.491680668
2,3,1,10,2.036523612
2,3,1,11,1.259803405
2,3,1,12,1.752723632
2,3,1,13,0.978900439
2,3,1,14,1.551174609
2,3,1,15,1.444372124
2,3,1,16,0.555005421
2,3,2,1,1.48971003
2,3,2,2,0.233071846
2,3,2,3,1.807618233
2,3,2,4,0.494692271
2,3,2,5,2.485522838
2,3,2,6,1.621154069
2,3,2,7,2.993609954
2,3,2,8,0.280022469
2,3,2,9,0.658790954
2,3,2,10,0.531544727
2,3,2,11,2.819052951
2,3,2,12,2.224015853
2,3,2,13,2.545958675
2,3,2,14,2.110583158
2,3,2,15,2.210433841
2,3,2,16,1.237260634
2,3,3,1,1.948773914
2,3,3,2,2.575725364
2,3,3,3,2.826160549
2,3,3,4,2.643310888
2,3,3,5,1.503001789
2,3,3,6,1.940452102
2,3,3,7,2.559386884
2,3,3,8,2.889724839
2,3,3,9,2.979693069
2,3,3,10,1.131351914
2,3,3,11,2.935218183
2,3,3,12,1.618955465
2,3,3,13,1.22902001
2,3,3,14,0.444469525
2,3,3,15,2.651702478
2,3,3,16,1.415450834
2,3,4,1,0.558615567
2,3,4,2,1.729224286
2,3,4,3,1.335791443
2,3,4,4,1.102600473
2,3,4,5,2.808759802
2,3,4,6,2.267652537
2,3,4,7,2.42431485
2,3,4,8,0.613966877
2,3,4,9,0.612791623
2,3,4,10,1.934329401
2,3,4,11,1.610267075
2,3,4,12,2.249360534
2,3,4,13,2.202393655
2,3,4,14,1.05792465
2,3,4,15,0.181649806
2,3,4,16,2.159390211
2,3,5,1,2.626175324
2,3,5,2,2.187151333
2,3,5,3,2.375343271
2,3,5,4,2.496384347
2,3,5,5,2.924635638
2,3,5,6,2.463068255
2,3,5,7,2.571183275
2,3,5,8,0.419369868
2,3,5,9,2.838445347
2,3,5,10,2.235574442
2,3,5,11,2.435032426
2,3,5,12,1.721459247
2,3,5,13,0.966355913
2,3,5,14,0.404720386
2,3,5,15,1.019245932
2,3,5,16,1.476998375
2,3,6,1,0.705594058
2,3,6,2,2.517017664
2,3,6,3,1.67685064
2,3,6,4,2.908498409
2,3,6,5,0.973522105
2,3,6,6,2.785142579
2,3,6,7,1.26218225
2,3,6,8,2.233196071
2,3,6,9,0.87146276
2,3,6,10,1.563048183
2,3,6,11,1.897131747
2,3,6,12,2.254617675
2,3,6,13,1.944774309
2,3,6,14,2.175819803
2,3,6,15,0.785747366
2,3,6,16,2.743893569
2,3,7,1,2.625601841
2,3,7,2,1.775563123
2,3,7,3,2.485188168
2,3,7,4,2.205435058
2,3,7,5,0.803813307
2,3,7,6,1.692556198
2,3,7,7,1.904567252
2,3,7,8,0.618466672
2,3,7,9,0.43353282
2,3,7,10,0.093105639
2,3,7,11,1.066282734
2,3,7,12,2.520826395
2,3,7,13,2.18306636
2,3,7,14,2.326660088
2,3,7,15,2.345684667
2,3,7,16,2.094135604
2,4,1,1,2.299879118
2,4,1,2,2.008466875
2,4,1,3,1.835148074
2,4,1,4,1.485429318
2,4,1,5,1.494938881
2,4,1,6,2.019124386
2,4,1,7,0.171045491
2,4,1,8,0.166280678
2,4,1,9,2.290931805
2,4,1,10,2.220688061
2,4,1,11,0.900768946
2,4,1,12,2.442821715
2,4,1,13,2.652254364
2,4,1,14,2.658573996
2,4,1,15,0.331861656
2,4,1,16,1.691356298
2,4,2,1,0.92309338
2,4,2,2,2.025450639
2,4,2,3,1.584848333
2,4,2,4,1.927994905
2,4,2,5,2.734171491
2,4,2,6,0.945946504
2,4,2,7,1.600818151
2,4,2,8,0.257618305
2,4,2,9,1.872488484
2,4,2,10,2.41781158
2,4,2,11,1.51216118
2,4,2,12,1.563316498
2,4,2,13,0.776843642
2,4,2,14,1.476707726
2,4,2,15,2.018721968
2,4,2,16,0.410450024
2,4,3,1,0.289111308
2,4,3,2,2.27715242
2,4,3,3,1.093561233
2,4,3,4,0.834085263
2,4,3,5,2.064398455
2,4,3,6,1.005897349
2,4,3,7,2.047466366
2,4,3,8,0.775461915
2,4,3,9,0.8693626
2,4,3,10,2.678148127
2,4,3,11,2.058753539
2,4,3,12,2.066436357
2,4,3,13,0.222603653
2,4,3,14,2.176019732
2,4,3,15,2.455420034
2,4,3,16,2.220812587
2,4,4,1,1.722130986
2,4,4,2,1.52812124
2,4,4,3,0.61834441
2,4,4,4,0.037370645
2,4,4,5,2.269755411
2,4,4,6,1.54523124
2,4,4,7,1.394394715
2,4,4,8,0.149637479
2,4,4,9,0.10686281
2,4,4,10,0.6450724
2,4,4,11,2.684268604
2,4,4,12,2.5626939
2,4,4,13,2.194628603
2,4,4,14,0.019220109
2,4,4,15,1.855680937
2,4,4,16,0.641303204
2,4,5,1,2.433147819
2,4,5,2,0.635518827
2,4,5,3,2.724706186
2,4,5,4,0.109170663
2,4,5,5,1.796021295
2,4,5,6,1.806239443
2,4,5,7,0.337002305
2,4,5,8,0.469341447
2,4,5,9,1.057259888
2,4,5,10,1.688139093
2,4,5,11,2.808733032
2,4,5,12,0.706813466
2,4,5,13,0.600800636
2,4,5,14,1.207975077
2,4,5,15,0.389805132
2,4,5,16,0.312843853
2,4,6,1,1.802709153
2,4,6,2,1.213465996
2,4,6,3,1.086772326
2,4,6,4,1.392796323
2,4,6,5,1.732251691
2,4,6,6,1.266770076
2,4,6,7,0.038071167
2,4,6,8,2.168989237
2,4,6,9,1.281612388
2,4,6,10,0.026427486
2,4,6,11,2.754417771
2,4,6,12,2.430733699
2,4,6,13,0.557216674
2,4,6,14,1.783940721
2,4,6,15,2.364456212
2,4,6,16,1.773371365
2,4,7,1,1.76816582
2,4,7,2,1.410080415
2,4,7,3,2.760501207
2,4,7,4,1.5194751
2,4,7,5,2.97910639
2,4,7,6,0.112982577
2,4,7,7,0.437559733
2,4,7,8,1.422391426
2,4,7,9,0.150669361
2,4,7,10,2.861567314
2,4,7,11,2.966735845
2,4,7,12,2.985699753
2,4,7,13,2.421768941
2,4,7,14,0.927489758
2,4,7,15,0.017536553
2,4,7,16,1.571398379
3,1,1,1,0.727087388
3,1,1,2,1.561087842
3,1,1,3,1.431864597
3,1,1,4,0.860872722
3,1,1,5,2.943573358
3,1,1,6,2.561213055
3,1,1,7,1.085862683
3,1,1,8,2.409000853
3,1,1,9,2.201757548
3,1,1,10,1.374032393
3,1,1,11,1.74100586
3,1,1,12,2.81759171
3,1,1,13,2.091052734
3,1,1,14,0.224024505
3,1,1,15,2.958181267
3,1,1,16,0.516062583
3,1,2,1,0.518953616
3,1,2,2,2.091519466
3,1,2,3,1.138979801
3,1,2,4,1.438409862
3,1,2,5,2.695686476
3,1,2,6,0.875992489
3,1,2,7,0.073350933
3,1,2,8,0.81562838
3,1,2,9,1.865472206
3,1,2,10,0.983450417
3,1,2,11,0.275431934
3,1,2,12,2.130191095
3,1,2,13,0.439453195
3,1,2,14,1.600936421
3,1,2,15,2.380728873
3,1,2,16,0.507590312
3,1,3,1,1.725315134
3,1,3,2,0.064550129
3,1,3,3,0.609763906
3,1,3,4,0.497942619
3,1,3,5,1.904885071
3,1,3,6,2.110815237
3,1,3,7,0.440472112
3,1,3,8,1.348105572
3,1,3,9,2.841149217
3,1,3,10,1.711151607
3,1,3,11,0.630927746
3,1,3,12,1.600745033
3,1,3,13,2.559871948
3,1,3,14,0.40018859
3,1,3,15,0.426121681
3,1,3,16,0.357756205
3,1,4,1,1.200439895
3,1,4,2,0.438155024
3,1,4,3,2.031881621
3,1,4,4,0.879321721
3,1,4,5,1.278371117
3,1,4,6,1.230373105
3,1,4,7,0.256583981
3,1,4,8,2.854529581
3,1,4,9,2.467693434
3,1,4,10,0.150883214
3,1,4,11,0.32190542
3,1,4,12,0.552641142
3,1,4,13,1.716855023
3,1,4,14,0.563077209
3,1,4,15,2.1330312
3,1,4,16,2.131982805
3,1,5,1,1.025926775
3,1,5,2,2.752685793
3,1,5,3,0.1703465
3,1,5,4,2.467812789
3,1,5,5,2.669416708
3,1,5,6,1.573540724
3,1,5,7,2.80541851
3,1,5,8,0.092574422
3,1,5,9,2.943982927
3,1,5,10,1.13089034
3,1,5,11,0.555895059
3,1,5,12,1.766817154
3,1,5,13,0.734517881
3,1,5,14,0.51231298
3,1,5,15,2.819676664
3,1,5,16,1.885356117
3,1,6,1,1.160128873
3,1,6,2,1.790262557
3,1,6,3,2.88211972
3,1,6,4,2.501262732
3,1,6,5,0.063872724
3,1,6,6,1.871846342
3,1,6,7,1.116674562
3,1,6,8,0.855933706
3,1,6,9,2.352976542
3,1,6,10,2.475687901
3,1,6,11,0.982820272
3,1,6,12,1.918821259
3,1,6,13,1.372591338
3,1,6,14,1.710885024
3,1,6,15,2.43004616
3,1,6,16,2.070987121
3,1,7,1,2.282318612
3,1,7,2,0.561852229
3,1,7,3,1.938369147
3,1,7,4,2.685110644
